Dataset	RunID	Masking	Build	Chance	RunTime	SeqNum	UPNum	AANum	MotNum	Rank	Sig	Pattern	IC	Occ	Support	UP	ExpUP	Prob	Cloud	CloudSeq	CloudUP
interactors_of.A0FGR8.P0DOE9	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:55:37	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.Q77M19	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:04:51	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.P03182	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:04:59	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.P03246	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:05:13	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.P06460	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:25:43	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.P06461	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:05:44	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.P06792	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:16:01	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.P06927	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:06:42	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.P0C739	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:06:35	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.P03452	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:08:14	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.P03431	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:04:47	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.P03428	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:06:11	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.I6T1Z2	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:21:55	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.C5E519	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:03:43	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.C5E524	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:06:24	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.C5E526	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:05:22	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.C5E527	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:23:11	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.Q1K9H5	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:10:03	28	19	7581	0	0	0.3	-									
interactors_of.A0FGR8.B4URF7	2017-10-25	FreqDisComp-5-8	Ql5w2o2a3	QSig	00:06:30	28	19	7581	0	0	0.3	-									
