Dataset	RunID	Masking	Build	Chance	RunTime	SeqNum	UPNum	AANum	MotNum	Rank	Sig	Pattern	IC	Occ	Support	UP	ExpUP	Prob	Cloud	CloudSeq	CloudUP
interactors_of.A0FGR8	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:56	19	12	3650	0	0	0.3	-									
interactors_of.A1L0V1	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:08	4	4	1143	0	0	0.3	-									
interactors_of.A3KMH1	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:12	5	5	1037	0	0	0.3	-									
interactors_of.A5YKK6	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:01	4	4	151	0	0	0.3	-									
interactors_of.A7E2V4	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:00	3	1	433	0	0	0.3	<									
interactors_of.O00116	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:01	3	3	136	0	0	0.3	-									
interactors_of.O00231	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:01	3	3	367	0	0	0.3	-									
interactors_of.O00264	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:18	20	17	1480	0	0	0.3	-									
interactors_of.O00303	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:00	3	2	2058	0	0	0.3	<									
interactors_of.O00308	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:16	12	5	2370	0	0	0.3	-									
interactors_of.O00391	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:03	5	4	152	0	0	0.3	-									
interactors_of.O00410	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:04	23	14	5301	0	0	0.3	-									
interactors_of.O00425	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:16	5	4	741	0	0	0.3	-									
interactors_of.O00459	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:40	19	3	3036	0	0	0.3	-									
interactors_of.O00469	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:14	4	4	315	0	0	0.3	-									
interactors_of.O00487	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:24	5	5	486	0	0	0.3	-									
interactors_of.O00499	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:05	4	1	4372	0	0	0.3	<									
interactors_of.O00505	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:02:07	13	10	4812	0	0	0.3	-									
interactors_of.O00560	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:40	6	6	305	0	0	0.3	-									
interactors_of.O00571	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:45	17	11	4572	2	1	0.046	D..TAT	4	4	4	4	0.026	1.08e-08	1	4	4
interactors_of.O00571	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:45	17	11	4572	2	2	0.2	GS.SSM	5	3	3	3	0.002	8.39e-10	2	3	3
interactors_of.O00629	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:41	16	8	5151	0	0	0.3	-									
interactors_of.O00716	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:07	4	2	1574	0	0	0.3	<									
interactors_of.O00743	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:25	3	3	732	0	0	0.3	-									
interactors_of.O00754	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:07	3	2	1147	0	0	0.3	<									
interactors_of.O14503	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:38	6	5	1749	0	0	0.3	-									
interactors_of.O14530	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:09	4	2	7072	0	0	0.3	<									
interactors_of.O14545	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:52	8	8	2713	0	0	0.3	-									
interactors_of.O14579	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:21	9	7	369	0	0	0.3	-									
interactors_of.O14617	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:03	7	2	3085	0	0	0.3	<									
interactors_of.O14641	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:37	11	9	2972	0	0	0.3	-									
interactors_of.O14654	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:39	16	9	4427	0	0	0.3	-									
interactors_of.O14672	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:16	3	2	371	0	0	0.3	<									
interactors_of.O14734	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:15	4	4	1288	0	0	0.3	-									
interactors_of.O14744	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:00	4	4	2387	0	0	0.3	-									
interactors_of.O14763	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:46	5	5	194	0	0	0.3	-									
interactors_of.O14773	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:39	4	3	222	0	0	0.3	-									
interactors_of.O14818	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:43	6	5	1157	0	0	0.3	-									
interactors_of.O14907	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:19	7	2	1456	0	0	0.3	<									
interactors_of.O14908	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:13	5	2	1068	0	0	0.3	<									
interactors_of.O14920	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:39	4	4	395	0	0	0.3	-									
interactors_of.O14964	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:15	3	2	839	0	0	0.3	<									
interactors_of.O14967	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:10	3	2	1789	0	0	0.3	<									
interactors_of.O14979	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:42	7	4	1490	1	1	0.064	G..ST.G..I	5	6	6	3	0.002	2.55e-10	1	6	3
interactors_of.O14980	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:33	7	7	1677	0	0	0.3	-									
interactors_of.O15020	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:27	4	4	863	0	0	0.3	-									
interactors_of.O15027	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:01	13	8	4653	0	0	0.3	-									
interactors_of.O15031	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:10	9	8	570	0	0	0.3	-									
interactors_of.O15084	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:03	3	2	1664	0	0	0.3	<									
interactors_of.O15111	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:42	13	5	1187	0	0	0.3	-									
interactors_of.O15131	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:15	3	2	1073	0	0	0.3	<									
interactors_of.O15160	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:07	3	1	298	0	0	0.3	<									
interactors_of.O15173	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:36	15	12	975	0	0	0.3	-									
interactors_of.O15217	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:02	3	3	661	0	0	0.3	-									
interactors_of.O15226	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:03:04	12	3	1930	0	0	0.3	-									
interactors_of.O15269	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:02:46	19	13	3250	1	1	0.23	P.RN	3	8	8	5	0.26	3.57e-06	1	8	5
interactors_of.O15270	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:49	7	6	250	0	0	0.3	-									
interactors_of.O15287	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:17	4	4	1047	0	0	0.3	-									
interactors_of.O15294	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:10	7	4	1764	0	0	0.3	-									
interactors_of.O15305	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:06	11	1	4445	0	0	0.3	<									
interactors_of.O15350	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:36	6	5	764	0	0	0.3	-									
interactors_of.O15350-2	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:58	3	3	247	0	0	0.3	-									
interactors_of.O15371	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:37	12	4	4352	0	0	0.3	-									
interactors_of.O15372	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:11	3	2	1845	0	0	0.3	<									
interactors_of.O15427	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:15	4	2	465	0	0	0.3	<									
interactors_of.O15439	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:14	3	1	247	0	0	0.3	<									
interactors_of.O15444	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:08	3	2	754	0	0	0.3	<									
interactors_of.O15523	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:46	5	5	481	0	0	0.3	-									
interactors_of.O15533	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:42	6	4	99	0	0	0.3	-									
interactors_of.O43143	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:09	4	2	683	0	0	0.3	<									
interactors_of.O43164	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:45	4	4	380	0	0	0.3	-									
interactors_of.O43175	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:42	4	4	1414	0	0	0.3	-									
interactors_of.O43186	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:29	6	4	921	0	0	0.3	-									
interactors_of.O43242	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:38	6	6	720	0	0	0.3	-									
interactors_of.O43251	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:15	4	4	820	0	0	0.3	-									
interactors_of.O43294	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:24	9	9	1177	0	0	0.3	-									
interactors_of.O43306	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:12	5	4	120	0	0	0.3	-									
interactors_of.O43390	2018-01-24	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:18	12	6	2179	0	0	0.3	-									
